"posts";"forum_id";"thread_id";"title";"url"
304;193157;1755670504;"In Turkey, U.S. soldiers guard against Syrian missile threat";"http://www.cnn.com/2013/09/13/world/europe/turkey-us-soldiers/index.html"
209;193157;1758409578;"Rape sentence is just the start of India's fight for equality";"http://www.cnn.com/2013/09/14/opinion/india-rape-karuna-nundy-op-ed/index.html"
1311;193157;1754132569;"Brain amoeba found in tests of water supply where boy died in Louisiana";"http://www.cnn.com/2013/09/12/us/louisiana-brain-amoeba-water-supply/index.html"
860;193157;1756485139;"Lindsay Lohan's mother, Dina, arrested and charged with DWI";"http://www.cnn.com/2013/09/13/showbiz/celebrity-news-gossip/dina-lohan-arrest-lindsay/index.html"
1187;193157;1782649282;"Florida 'Hiccup Girl' found guilty of murder ";"http://www.cnn.com/2013/09/20/justice/hiccup-girl-murder-verdict/index.html"
122;193157;1785709114;"Germany votes: What you need to know, and why you should care";"http://www.cnn.com/2013/09/22/world/europe/germany-votes-what-you-need-to-know/index.html"
360;193157;1755687569;"Twerkgate: Miley's 'grandmother' Vicki Lawrence weighs in ";"http://www.cnn.com/2013/09/13/showbiz/miley-cyrus-twerking-vicki-lawrence/index.html"
144;193157;1769359340;"Scores of hostages freed in Philippines; Muslim rebels capture police chief";"http://www.cnn.com/2013/09/17/world/asia/philippines-mindanao-unrest/index.html"
1461;193157;1756829504;"Miss Kansas vies for national crown, tattoos and all";"http://www.cnn.com/2013/09/13/us/miss-kansas-tattoo/index.html"
3102;193157;1761950441;"Times Square shooting: Police wound 2 bystanders by mistake ";"http://www.cnn.com/2013/09/15/justice/times-square-police-shooting/index.html"
392;193157;1756551504;"Dream deflated: American ends quest to cross Atlantic with helium balloons";"http://www.cnn.com/2013/09/13/world/americas/atlantic-balloon-crossing-aborted/index.html"
1349;193157;1781507193;"Sudden lottery fortune no panacea ";"http://www.cnn.com/2013/09/20/us/lottery-windfall-disasters/index.html"
13760;193157;1761674055;"Syrian opposition wants ban on government's use of air power";"http://www.cnn.com/2013/09/15/world/meast/syria-civil-war-diplomacy/index.html"
225;193157;1783084375;"Why suicide rate among veterans may be more than 22 a day";"http://www.cnn.com/2013/09/21/us/22-veteran-suicides-a-day/index.html"
176;193157;1749432961;"All eyes turn to Geneva talks on Syria";"http://www.cnn.com/2013/09/11/politics/syria-diplomacy-kerry/index.html"
1802;193157;1779581819;"Mark Kessler gets termination notice after anti-liberal rants, firing weapons on video ";"http://www.cnn.com/2013/09/20/us/pennsylvania-police-chief-fired/index.html"
189;193157;1758989145;"Where is self-control in the brain?";"http://www.cnn.com/2013/09/14/health/self-control-brain/index.html"
666;193157;1784155591;"Car bombings kill 9, wound dozens in eastern Baghdad";"http://www.cnn.com/2013/09/21/world/iraq-violence/index.html"
1619;193157;1770365920;"Thank you, Miss America";"http://www.cnn.com/2013/09/17/opinion/jones-miss-america-beauty/index.html"
996;193157;1775957948;"First Miss America of Indian descent embraces discussion on diversity";"http://www.cnn.com/2013/09/18/us/miss-america-nina-davuluri/index.html"
1784;193157;1765084627;"Syria: There's a chemical weapons agreement. Now what?";"http://www.cnn.com/2013/09/16/world/meast/syria-whats-next/index.html"
160;193157;1754941199;"Russia: Deadly fire sweeps through psychiatric institution";"http://www.cnn.com/2013/09/13/world/europe/russia-fire-psychiatric/index.html"
3172;193157;1756610517;"Putin's clever PR stunt worked ";"http://www.cnn.com/2013/09/13/opinion/sonenshine-russia-image/index.html"
457;193157;1783965313;"'Breaking Bad' is watching you";"http://www.cnn.com/2013/09/21/opinion/seymour-breaking-bad/index.html"
113;193157;1749058286;"Police may need months to recover Zimmerman video";"http://www.cnn.com/2013/09/11/justice/florida-zimmerman/index.html"
1050;193157;1784111616;"Gunman kills 3 American soldiers in Afghanistan";"http://www.cnn.com/2013/09/21/world/afghanistan-us-soldiers-killed/index.html"
7635;193157;1768360065;"Navy Yard shooting rampage kills 12; dead suspect is contractor";"http://www.cnn.com/2013/09/17/us/navy-yard-shooting-main/index.html"
214;193157;1760321818;"Ingrid now a hurricane in Gulf";"http://www.cnn.com/2013/09/14/world/americas/tropical-weather/index.html"
1207;193157;1770133403;"Company hopes new jet will save the Air Force a bundle";"http://www.cnn.com/2013/09/17/tech/innovation/new-scorpion-attack-jet/index.html"
857;193157;1781221130;"Supreme flaws: Three ways to fix the Supreme Court";"http://www.cnn.com/2013/09/20/opinion/segall-supreme-court-flaws/index.html"
117;193157;1753841222;"US aircraft near misses more than double";"http://www.cnn.com/2013/09/12/travel/aircraft-near-misses/index.html"
444;193157;1779022149;"Official: Man's death at Turner Field ruled a suicide";"http://www.cnn.com/2013/09/19/us/georgia-baseball-fan-falls/index.html"
250;193157;1755418092;"Louvre hit by Chinese counterfeit ticket scam ";"http://www.cnn.com/2013/09/13/travel/louvre-fake-chinese-tickets/index.html"
649;193157;1752881176;"Putin a hypocrite with blood on his hands";"http://www.cnn.com/2013/09/12/opinion/ghitis-putin-hypocrisy/index.html"
4273;193157;1774026742;"Fatalities reported in Ottawa crash";"http://www.cnn.com/2013/09/18/world/americas/canada-bus-train-colllision/index.html"
999;193157;1774378288;"New iPhones: The reviews are in";"http://www.cnn.com/2013/09/18/tech/mobile/iphone-5s-5c-reviews/index.html"
757;193157;1765686082;"A tale of two black hairstyles";"http://www.cnn.com/2013/09/16/opinion/davis-black-hairstyles/index.html"
523;193157;1764783075;"Philippine troops try to squeeze Muslim rebels holding hostages in Zamboanga";"http://www.cnn.com/2013/09/16/world/asia/philippines-mindanao-unrest/index.html"
544;193157;1773775568;"East, west, south: Severe weather slaps Mexico on 3 fronts";"http://www.cnn.com/2013/09/18/world/americas/mexico-severe-weather/index.html"
232;193157;1757571294;"Kanye West charged with battery in airport incident";"http://www.cnn.com/2013/09/13/showbiz/kanye-west-charged-in-photographer-clash/index.html"
1540;193157;1777837703;"New legless lizards found in California";"http://www.cnn.com/2013/09/19/us/california-legless-lizards/index.html"
